market,fold,lgb,xgb,rf,lr,ensemble,n_train,n_test
PTS,1,0.647,0.633,0.648,0.651,0.652,4219,1638
PTS,2,0.603,0.606,0.607,0.607,0.611,5857,1637
PTS,3,0.648,0.639,0.636,0.644,0.646,7494,1635
PTS,4,0.668,0.661,0.666,0.667,0.671,9129,1642
PTS,5,0.630,0.628,0.621,0.626,0.631,10771,1641
PTS,6,0.668,0.660,0.665,0.666,0.671,12412,1637
REB,1,0.601,0.604,0.608,0.582,0.603,3951,1503
REB,2,0.583,0.585,0.589,0.563,0.583,5454,1549
REB,3,0.604,0.597,0.601,0.592,0.603,7003,1506
REB,4,0.618,0.615,0.620,0.602,0.618,8509,1504
REB,5,0.598,0.584,0.596,0.581,0.594,10013,1540
REB,6,0.613,0.612,0.611,0.608,0.617,11553,1516
AST,1,0.574,0.578,0.563,0.591,0.585,3021,1013
AST,2,0.595,0.579,0.572,0.595,0.596,4034,1140
AST,3,0.595,0.586,0.588,0.593,0.596,5174,1014
AST,4,0.598,0.597,0.583,0.560,0.588,6188,1014
AST,5,0.594,0.575,0.583,0.576,0.586,7202,1038
AST,6,0.582,0.572,0.567,0.564,0.575,8240,998
